time,A,B,S
                1186,  1, 1, 2
                1188,  1, 1, 2
                1190,  1, 1, 0
                1192,  1, 1, 0
                1194,  1, 1, 0
                1196,  1, 1, 0
                1198,  1, 1, 0
                1200,  1, 1, 4
                1202,  1, 1, 4
                1204,  1, 1, 4
                1206,  1, 1, 4
                1208,  1, 1, 4
                1210,  1, 1,13
                1212,  1, 1,13
                1214,  1, 1,13
                1216,  1, 1,13
                1218,  1, 1,13
                1220,  1, 1, 1
                1222,  1, 1, 1
                1224,  1, 1, 1
                1226,  1, 1, 1
                1228,  1, 1, 1
                1230,  1, 1,15
                1232,  1, 1,15
                1234,  1, 1,15
                1236,  1, 1,15
                1238,  1, 1,15
                1240,  1, 1, 1
                1242,  1, 1, 1
                1244,  1, 1, 1
                1246,  1, 1, 1
                1248,  1, 1, 1
                1250,  1, 1, 1
                1252,  1, 1, 1
                1254,  1, 1, 1
                1256,  1, 1, 1
                1258,  1, 1, 1
                1260,  1, 1, 1
                1262,  1, 1, 1
                1264,  1, 1, 1
                1266,  1, 1, 1
                1268,  1, 1, 1
                1270,  1, 1, 1
                1272,  1, 1, 1
                1274,  1, 1, 1
                1276,  1, 1, 1
                1278,  1, 1, 1
                1280,  1, 1,15
                1282,  1, 1,15
                1284,  1, 1,15
                1286,  1, 1,15
                1288,  1, 1,15
                1290,  1, 1, 2
                1292,  1, 1, 2
                1294,  1, 1, 2
                1296,  1, 1, 2
                1298,  1, 1, 2
                1300,  1, 1, 2
                1302,  1, 1, 2
                1304,  1, 1, 2
                1306,  1, 1, 2
                1308,  1, 1, 2
                1310,  1, 1, 2
                1312,  1, 1, 2
                1314,  1, 1, 2
                1316,  1, 1, 2
                1318,  1, 1, 2
                1320,  1, 1, 2
                1322,  1, 1, 2
                1324,  1, 1, 2
                1326,  1, 1, 2
                1328,  1, 1, 2
                1330,  1, 1, 2
                1332,  1, 1, 2
                1334,  1, 1, 2
                1336,  1, 1, 2
                1338,  1, 1, 2
                1340,  1, 1, 0
                1342,  1, 1, 0
                1344,  1, 1, 0
                1346,  1, 1, 0
                1348,  1, 1, 0
                1350,  1, 1, 4
                1352,  1, 1, 4
                1354,  1, 1, 4
                1356,  1, 1, 4
                1358,  1, 1, 4
                1360,  1, 1, 2
                1362,  1, 1, 2
                1364,  1, 1, 2
                1366,  1, 1, 2
                1368,  1, 1, 2
                1370,  1, 1, 2
                1372,  1, 1, 2
                1374,  1, 1, 2
                1376,  1, 1, 2
                1378,  1, 1, 2
                1380,  1, 1, 2
                1382,  1, 1, 2
                1384,  1, 1, 2
                1386,  1, 1, 2
                1388,  1, 1, 2
                1390,  1, 1, 0
                1392,  1, 1, 0
                1394,  1, 1, 0
                1396,  1, 1, 0
                1398,  1, 1, 0
                1400,  1, 1, 2
                1402,  1, 1, 2
                1404,  1, 1, 2
                1406,  1, 1, 2
                1408,  1, 1, 2
                1410,  1, 1, 2
                1412,  1, 1, 2
                1414,  1, 1, 2
                1416,  1, 1, 2
                1418,  1, 1, 2
                1420,  1, 1, 2
                1422,  1, 1, 2
                1424,  1, 1, 2
                1426,  1, 1, 2
                1428,  1, 1, 2
                1430,  1, 1, 2
                1432,  1, 1, 2
                1434,  1, 1, 2
                1436,  1, 1, 2
                1438,  1, 1, 2
                1440,  1, 1, 2
                1442,  1, 1, 2
                1444,  1, 1, 2
                1446,  1, 1, 2
                1448,  1, 1, 2
                1450,  1, 1, 0
                1452,  1, 1, 0
                1454,  1, 1, 0
                1456,  1, 1, 0
                1458,  1, 1, 0
                1460,  1, 1, 2
                1462,  1, 1, 2
                1464,  1, 1, 2
                1466,  1, 1, 2
                1468,  1, 1, 2
                1470,  1, 1, 2
                1472,  1, 1, 2
                1474,  1, 1, 2
                1476,  1, 1, 2
                1478,  1, 1, 2
                1480,  1, 1, 2
                1482,  1, 1, 2
                1484,  1, 1, 2
                1486,  1, 1, 2
                1488,  1, 1, 2
                1490,  1, 1,15
                1492,  1, 1,15
                1494,  1, 1,15
                1496,  1, 1,15
                1498,  1, 1,15
                1500,  1, 1, 2
                1502,  1, 1, 2
                1504,  1, 1, 2
                1506,  1, 1, 2
                1508,  1, 1, 2
                1510,  1, 1, 2
                1512,  1, 1, 2
                1514,  1, 1, 2
                1516,  1, 1, 2
                1518,  1, 1, 2
                1520,  1, 1, 2
                1522,  1, 1, 2
                1524,  1, 1, 2
                1526,  1, 1, 2
                1528,  1, 1, 2
                1530,  1, 1, 2
                1532,  1, 1, 2
                1534,  1, 1, 2
                1536,  1, 1, 2
                1538,  1, 1, 2
                1540,  1, 1, 0
                1542,  1, 1, 0
                1544,  1, 1, 0
                1546,  1, 1, 0
                1548,  1, 1, 0
                1550,  1, 1, 4
                1552,  1, 1, 4
                1554,  1, 1, 4
                1556,  1, 1, 4
                1558,  1, 1, 4
                1560,  1, 1, 2
                1562,  1, 1, 2
                1564,  1, 1, 2
                1566,  1, 1, 2
                1568,  1, 1, 2
                1570,  1, 1, 2
                1572,  1, 1, 2
                1574,  1, 1, 2
                1576,  1, 1, 2
                1578,  1, 1, 2
